Date,PM2.5,PM10,NO2,SO2,CO,Ozone,min_temp,max_temp,relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),windspeed_100m (km/h),winddirection_100m (°)
01-01-2018,56.32,115.46,43.99,15.59,0.92,46.12,16.3,28.2,53.91666667,12.00833333,0,10.00833333,172.8333333
02-01-2018,64.01,119.89,33.24,9.19,0.63,61.1,17.8,27.9,45.83333333,10.075,0,13.125,95.625
03-01-2018,73.7,140.86,33.8,9.87,0.79,56.82,17.6,27.5,49.875,11.10416667,0,14.11666667,71
04-01-2018,76.6,155.77,35.73,14.89,0.72,70.88,16.5,27.1,47.08333333,9.104166667,0,12.8375,75.375
05-01-2018,74.92,159.18,37.6,14.38,0.75,68.01,15.4,27.3,46.29166667,8.4875,0,13.50833333,75.66666667
06-01-2018,71.8,137.22,46.02,15.46,0.82,63.22,15.4,27,46.79166667,8.6875,0,11.87916667,83.625
07-01-2018,70.45,137.1,49.46,15.8,0.93,61.22,16.2,27.1,48.75,9.45,0,12.7625,109.4583333
08-01-2018,73.7,136.38,34.11,8.58,1.09,70.16,14.7,26.7,51.04166667,9.733333333,0,16.42083333,102.2083333
09-01-2018,77.13,156.33,39.63,13.98,0.82,70.92,14.9,26.4,60.625,12.53333333,0,13.69166667,92.125
10-01-2018,72.62,151.79,38.12,13.92,1.35,78.12,17.2,28.3,58.33333333,13.38333333,0,15.74166667,91.66666667
11-01-2018,70.54,140.29,34.75,13.92,0.71,88.56,17.4,29.7,61.41666667,15.00416667,0,9.8875,76.41666667
12-01-2018,71.67,148.34,45.23,24.88,0.63,85.28,18,30.4,50.54166667,12.53333333,0,11.34583333,68.16666667
13-01-2018,64.64,137.9,32.77,28.04,0.69,87.52,17.4,30.4,48.41666667,11.3125,0,15.79583333,61.5
14-01-2018,66.05,114.01,26.45,17.24,0.55,79.57,17.2,30.8,45.95833333,10.89583333,0,14.82916667,82.16666667
15-01-2018,71.74,112.01,19.64,9.73,0.68,78.73,19.3,30,58.20833333,15.3375,0,11.7375,99.625
16-01-2018,60.09,115.73,27.44,11.07,0.63,64.67,18,29.7,51.79166667,12.41666667,0,13.05833333,60.375
17-01-2018,63.61,121.85,29.36,12.93,0.76,68.19,17.7,29.4,45.83333333,10.4625,0,14.19583333,75.41666667
18-01-2018,62.99,137.34,51.2,17.68,1.06,51.96,15.8,28.8,48.33333333,10.25,0,15.88333333,74.20833333
19-01-2018,53.91,126.92,38.93,20.22,0.56,66.35,15.1,28.7,43.95833333,7.920833333,0,12.7125,57.41666667
20-01-2018,58.31,130.04,47.76,25.86,0.96,78.05,15.3,28.3,40.66666667,6.5,0,10.89583333,72.95833333
