Date,PM2.5,PM10,NO2,SO2,CO,Ozone,Humidity(%),dewpoint_2m (°C),Rainfall (mm),windspeed (kmph),winddirection_100m (°),temp,PM2.5_SubIndex,PM10_SubIndex,SO2_SubIndex,NOx_SubIndex,CO_SubIndex,O3_SubIndex,AQI,min_temp,max_temp
01-01-2018,56.32,115.46,43.99,15.59,0.92,46.12,53.91666667,12.00833333,0,10.00833333,172.8333333,11.9,93.86666667,110.3066667,19.4875,54.9875,46,46.12,110,16.3,28.2
01-02-2018,64.01,119.89,33.24,9.19,0.63,61.1,45.83333333,10.075,0,13.125,95.625,10.1,113.3666667,113.26,11.4875,41.55,31.5,61.1,113,17.8,27.9
01-03-2018,73.7,140.86,33.8,9.87,0.79,56.82,49.875,11.10416667,0,14.11666667,71,9.9,145.6666667,127.24,12.3375,42.25,39.5,56.82,146,17.6,27.5
01-04-2018,76.6,155.77,35.73,14.89,0.72,70.88,47.08333333,9.104166667,0,12.8375,75.375,10.6,155.3333333,137.18,18.6125,44.6625,36,70.88,155,16.5,27.1
01-05-2018,74.92,159.18,37.6,14.38,0.75,68.01,46.29166667,8.4875,0,13.50833333,75.66666667,11.9,149.7333333,139.4533333,17.975,47,37.5,68.01,150,15.4,27.3
01-06-2018,71.8,137.22,46.02,15.46,0.82,63.22,46.79166667,8.6875,0,11.87916667,83.625,11.6,139.3333333,124.8133333,19.325,57.525,41,63.22,139,15.4,27
01-07-2018,70.45,137.1,49.46,15.8,0.93,61.22,48.75,9.45,0,12.7625,109.4583333,10.9,134.8333333,124.7333333,19.75,61.825,46.5,61.22,135,16.2,27.1
01-08-2018,73.7,136.38,34.11,8.58,1.09,70.16,51.04166667,9.733333333,0,16.42083333,102.2083333,12,145.6666667,124.2533333,10.725,42.6375,54.5,70.16,146,14.7,26.7
01-09-2018,77.13,156.33,39.63,13.98,0.82,70.92,60.625,12.53333333,0,13.69166667,92.125,11.5,157.1,137.5533333,17.475,49.5375,41,70.92,157,14.9,26.4
01-10-2018,72.62,151.79,38.12,13.92,1.35,78.12,58.33333333,13.38333333,0,15.74166667,91.66666667,11.1,142.0666667,134.5266667,17.4,47.65,67.5,78.12,142,17.2,28.3
01-11-2018,70.54,140.29,34.75,13.92,0.71,88.56,61.41666667,15.00416667,0,9.8875,76.41666667,12.3,135.1333333,126.86,17.4,43.4375,35.5,88.56,135,17.4,29.7
01-12-2018,71.67,148.34,45.23,24.88,0.63,85.28,50.54166667,12.53333333,0,11.34583333,68.16666667,12.4,138.9,132.2266667,31.1,56.5375,31.5,85.28,139,18,30.4
13-01-2018,64.64,137.9,32.77,28.04,0.69,87.52,48.41666667,11.3125,0,15.79583333,61.5,13,115.4666667,125.2666667,35.05,40.9625,34.5,87.52,125,17.4,30.4
14-01-2018,66.05,114.01,26.45,17.24,0.55,79.57,45.95833333,10.89583333,0,14.82916667,82.16666667,13.6,120.1666667,109.34,21.55,33.0625,27.5,79.57,120,17.2,30.8
15-01-2018,71.74,112.01,19.64,9.73,0.68,78.73,58.20833333,15.3375,0,11.7375,99.625,10.7,139.1333333,108.0066667,12.1625,24.55,34,78.73,139,19.3,30
16-01-2018,60.09,115.73,27.44,11.07,0.63,64.67,51.79166667,12.41666667,0,13.05833333,60.375,11.7,100.3,110.4866667,13.8375,34.3,31.5,64.67,110,18,29.7
17-01-2018,63.61,121.85,29.36,12.93,0.76,68.19,45.83333333,10.4625,0,14.19583333,75.41666667,11.7,112.0333333,114.5666667,16.1625,36.7,38,68.19,115,17.7,29.4
18-01-2018,62.99,137.34,51.2,17.68,1.06,51.96,48.33333333,10.25,0,15.88333333,74.20833333,13,109.9666667,124.8933333,22.1,64,53,51.96,125,15.8,28.8
19-01-2018,53.91,126.92,38.93,20.22,0.56,66.35,43.95833333,7.920833333,0,12.7125,57.41666667,13.6,89.85,117.9466667,25.275,48.6625,28,66.35,118,15.1,28.7
20-01-2018,58.31,130.04,47.76,25.86,0.96,78.05,40.66666667,6.5,0,10.89583333,72.95833333,13,97.18333333,120.0266667,32.325,59.7,48,78.05,120,15.3,28.3
21-01-2018,65.01,137.39,39.04,18.66,0.71,71.1,50.91666667,9.7125,0,13.92916667,111.0833333,12.7,116.7,124.9266667,23.325,48.8,35.5,71.1,125,15.6,28.3
22-01-2018,70.12,149.1,38.94,11.33,0.72,77.66,56.75,11.54166667,0,15.125,127.9583333,12.7,133.7333333,132.7333333,14.1625,48.675,36,77.66,134,15.1,27.8
23-01-2018,66.37,135.02,35.79,8.36,0.55,69.98,56.29166667,12.02083333,0,13.35416667,188.5,12.5,121.2333333,123.3466667,10.45,44.7375,27.5,69.98,123,16.1,28.6
24-01-2018,66.05,136.33,29.18,15.37,0.64,69.17,55.41666667,12.075,0,15.0125,274.8333333,12.3,120.1666667,124.22,19.2125,36.475,32,69.17,124,16.4,28.7
25-01-2018,64.09,155.62,31.16,22.35,0.69,75.76,46.45833333,9.791666667,0,14.3875,192.7083333,12.6,113.6333333,137.08,27.9375,38.95,34.5,75.76,137,16.2,28.8
26-01-2018,63.89,156.63,31.98,20.91,0.67,91.13,43,7.891666667,0,10.96666667,99.95833333,12.9,112.9666667,137.7533333,26.1375,39.975,33.5,91.13,138,15.6,28.5
27-01-2018,67.53,157.28,38.94,16.53,0.7,81.97,45.58333333,8.916666667,0,12.54583333,93.45833333,13.9,125.1,138.1866667,20.6625,48.675,35,81.97,138,14.3,28.2
28-01-2018,74.05,154.86,32.25,12.54,0.71,68.58,49.5,10.95833333,0,12.97083333,107.8333333,12.4,146.8333333,136.5733333,15.675,40.3125,35.5,68.58,147,16.2,28.6
29-01-2018,70.22,150.94,32.56,10.17,0.65,70.13,50.91666667,10.81666667,0,16.11666667,98.04166667,13.1,134.0666667,133.96,12.7125,40.7,32.5,70.13,134,15.8,28.9
30-01-2018,53.45,140.64,34.46,18.24,0.6,87.45,43.5,7.254166667,0,16.59583333,65.625,14.6,89.08333333,127.0933333,22.8,43.075,30,87.45,127,14.4,29
31-01-2018,44.71,121.15,32.94,20.26,0.69,70.03,36.58333333,5.5375,0,12.44583333,62.41666667,15.4,74.51666667,114.1,25.325,41.175,34.5,70.03,114,15,30.4
02-01-2018,50.27,135.5,58.35,34.26,0.74,57.22,32.79166667,5.245833333,0,13.70833333,58.83333333,14.6,83.78333333,123.6666667,42.825,72.9375,37,57.22,124,16.2,30.8
02-02-2018,43.08,121.65,50.19,25.43,0.62,54.41,29.83333333,4.25,0,12.32083333,81.29166667,12.7,71.8,114.4333333,31.7875,62.7375,31,54.41,114,18,30.7
02-03-2018,47.93,135.98,40.14,10.5,0.7,66.78,36.66666667,6.258333333,0,17.8875,136.2916667,14.7,79.88333333,123.9866667,13.125,50.175,35,66.78,124,15.4,30.1
02-04-2018,44.43,125.4,31.37,11.93,0.52,70.91,34.58333333,5.241666667,0,17.1375,139.9166667,15,74.05,116.9333333,14.9125,39.2125,26,70.91,117,15.2,30.2
