Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),humidity_max (%),wind_speed_max (Kmph),wind_speed_min (Kmph)
01-01-2020,0,19.84375,26.65625,62.4875,93.15625,11.275,0
02-01-2020,0,20.94375,29.90625,54.8125,92.8125,12.73125,0
03-01-2020,0.8625,21.55625,29.425,61.1,91.85625,11.7375,0
04-01-2020,4.2,19.5125,23.55,87.33125,97.4125,7.575,0
05-01-2020,0,17.89375,25.51875,76.9375,96.8625,7.30625,0
06-01-2020,0,15.68125,26.70625,54.4,92.39375,9.3375,0
07-01-2020,0,19.425,28.80625,54.575,92.00625,6.39375,0
08-01-2020,0,21.4,29.7125,60.83125,92.81875,10.4,0
09-01-2020,0,20.7125,29.21875,63.58125,93.025,12.85625,0
10-01-2020,0,17.975,29.75625,59.1375,89.43125,9.9875,0
11-01-2020,0,15.0875,26.725,62.2,89.88125,7.7625,0
12-01-2020,0,14.1125,27.85,50.59375,92.4625,5.08125,0
13-01-2020,0,12.65,27.9375,29.54375,92.23125,7.00625,0
14-01-2020,0,15.0875,30.05,30.56875,91.8875,4.8375,0
15-01-2020,0,17.725,29.3625,52.71875,96.20625,8.76875,0
16-01-2020,0,17.31875,29.325,48.525,95.44375,11.5125,0
17-01-2020,0,19.54375,29.5875,48.25,93.38125,13.10625,0
18-01-2020,0,20.20625,29.91875,52.01875,93.99375,10.35,0
19-01-2020,0,19.325,29.5625,55.0875,95.93125,9.89375,0
20-01-2020,0,20.05625,30.45625,57.60625,95.35625,9.7125,0
21-01-2020,0,19.11875,28.91875,64.03125,97.03125,7.31875,0
22-01-2020,0,20.325,30.54375,55.8875,94.1,11.1875,0
23-01-2020,0,18.60625,31.19375,50.3125,96.3,10.81875,0
24-01-2020,0,17.85625,31.4,45.7125,95.48125,7.9,0
25-01-2020,0,17.90625,30.93125,47.025,95.725,5.9125,0
26-01-2020,0,18.3625,32.1125,39.99375,94.28125,5.1375,0
27-01-2020,0,16.76875,31.775,42.5125,93.95,6.36875,0
28-01-2020,0,20.19375,33.1875,38.73125,86.9875,11.75625,0
29-01-2020,0,20.475,33.1125,42.23125,91.28125,10.875,0
30-01-2020,0,18.5,30.89375,50.21875,90.58125,6.69375,0
31-01-2020,0,16.55625,29.13125,50.89375,88.2625,7.28125,0
01-02-2020,0,19.64375,28.85625,50.7125,86.64375,7.70625,0
02-02-2020,0.53125,19.1875,30.79375,53.7875,86.1125,12.05,0
03-02-2020,0,20.38125,29.4875,58.05625,92.775,8.0125,0
04-02-2020,0,20.89375,30.7875,53.56875,90.9375,9.675,0
05-02-2020,0,20.125,32.80625,43.375,90.8375,12.6,0
06-02-2020,0,19.85625,31.675,49.8875,91.175,11.54375,0
07-02-2020,0,21.4,32.65625,43.24375,89,12.6,0
08-02-2020,0,22.11875,31,53.16875,88.81875,12.29375,0
09-02-2020,15.3875,17.83125,25.66875,80.3125,95.6375,10.31875,0
10-02-2020,0.00625,17.7875,25.04375,80.00625,97.7125,7.575,0
11-02-2020,0,20.41875,28.25,69.8875,97.83125,7.15,0
12-02-2020,0,20.46875,29.79375,60.7,96.99375,9.4375,0
13-02-2020,0,17.01875,30.79375,53.15625,96.25,7.35625,0
14-02-2020,0,17.6875,30.8125,39.2875,89.5625,7.675,0
15-02-2020,0,16.84375,33.34375,29.3875,90.88125,6.2,0
16-02-2020,0,17.83125,33.09375,36.24375,92.03125,5.0375,0
17-02-2020,0,17.075,33.36875,36.525,92.675,5.90625,0
18-02-2020,0,15.66875,32.9625,34.45,91.925,6.25,0
19-02-2020,0,15.39375,32.9625,26.7,91.0875,6.4375,0
20-02-2020,0,19.76875,32.35625,38.48125,94.6875,9.7625,0
21-02-2020,0,19.675,31.21875,51.8875,91.78125,13.3875,0
22-02-2020,0,18.40625,31.69375,45.6375,88.1375,12.7375,0
23-02-2020,0,18.69375,32.625,42.68125,92.73125,11.3125,0
24-02-2020,0,19.73125,32.83125,42.2625,91.83125,10.675,0
25-02-2020,0,20.98125,33.525,39.075,87.04375,12.34375,0
26-02-2020,0,18.525,31.875,48.28125,90.675,8.46875,0
27-02-2020,0,16.2125,30.95,32.6375,76.03125,7.4125,0
28-02-2020,0,16.84375,32.18125,28.85,89.4375,7.1625,0
29-02-2020,0,19.525,32.05625,40.18125,94.95625,9.5625,0
01-03-2020,0,20.29375,32.3625,46.375,94.7375,11.2875,0
02-03-2020,0,22.01875,32.05625,47.5125,89.08125,10.71875,0
03-03-2020,0,20.7875,33.09375,48.3625,91.3875,8.95,0
04-03-2020,0,22.36875,34.43125,45.8375,85.04375,12.7,0
05-03-2020,0,20.6,35.425,32.56875,87.99375,8.30625,0
06-03-2020,0.3,22.78125,32.025,50.58125,94.0625,10.2625,0
07-03-2020,0,23.7125,33.39375,50.7125,92.54375,14.21875,0
08-03-2020,2.55,22.575,30.8375,63.03125,95.3875,13.1875,0
09-03-2020,12.425,22.9625,32.69375,58.75625,97.3125,11.6875,0
10-03-2020,0.0125,21.90625,31.13125,64.31875,91.8125,10.16875,0
11-03-2020,0,22.4125,34.15625,46.23125,89.5,12.675,0
12-03-2020,1.225,22.06875,33.33125,54.88125,95,11.11875,0
13-03-2020,1.6125,22.41875,31.65,66.55625,94.9125,10.475,0
14-03-2020,0,21.08125,34.1125,49.425,91.425,13.1875,0
15-03-2020,0,21.8375,32.76875,56.29375,92.55,10.54375,0
16-03-2020,0,21.79375,32.9875,46.76875,93.16875,9.95625,0
17-03-2020,0,22.19375,34.175,45.65,93.45,9.7125,0
18-03-2020,0,21.85625,34.93125,45.2625,87.18125,9.63125,0
19-03-2020,0.7625,22.5875,34.51875,44.3875,88.5625,10.1625,0
20-03-2020,0,21.26875,35.66875,43.65,84.71875,9.2875,0
21-03-2020,2.08125,22.49375,34.8875,45.56875,90.6875,10.74375,0
22-03-2020,0,22.1625,34.6,47.675,94.825,11.15625,0
23-03-2020,0,22.10625,35.375,36.8,94.3625,7.80625,0
24-03-2020,0,22.2,35.35,46.875,88.79375,9.2,0
25-03-2020,0,22.9875,35.175,44.25,86.0625,9.03125,0
26-03-2020,0,23.18125,35.325,45.6375,80.10625,9.53125,0
27-03-2020,0,23.39375,36.2125,36.9125,76.575,7.74375,0
28-03-2020,0,22.06875,37.025,30.73125,72.925,10.65,0
29-03-2020,0,22.44375,37.2375,29.34375,82.225,7.1125,0
30-03-2020,0,22.15,37.4,35.4,75.7,10.35,0
31-03-2020,0.03125,23.6375,35.54375,41.25625,79.16875,8.075,0
01-04-2020,0,24.61875,37.7625,32.65625,78.7375,6.30625,
02-04-2020,0,22.6625,38.36875,28.53125,80.95625,7.88125,
03-04-2020,0,25.275,37.375,36.8625,68.9375,8.55,
04-04-2020,0,22.975,33.20625,47.15625,83.41875,8.84375,
05-04-2020,0,21.475,34.25,44.66875,86.23125,9.60625,
06-04-2020,0,23.69375,34.8875,41.9375,80.98125,10.23125,
07-04-2020,0.01875,22.63125,35.83125,40.71875,83.625,9.35625,
08-04-2020,0,23.925,37.64375,37.1625,71.8,10.31875,
09-04-2020,0,24.675,37.71875,32.55,83.20625,9.43125,
10-04-2020,0,20.825,36.25,41.35625,87.01875,11.8625,
11-04-2020,0,22.85,36.40625,36.1,81.85625,7.40625,
12-04-2020,0,22.7125,37.56875,27.05,77.475,6.6625,
13-04-2020,0.01875,23.6625,38.10625,30.95,71.3875,6.49375,
14-04-2020,0,23.01875,38.4,24.16875,61.14375,7.38125,
15-04-2020,0,23,39.025,20.18125,70.78125,8.9375,
16-04-2020,0,23.225,38.375,21.575,71.49375,9.0625,
17-04-2020,0,23.84375,38.34375,25.225,74.73125,9.11875,
18-04-2020,0,24.28125,39.55,27.35,79.275,10.125,
19-04-2020,6.05,21.65,38.4625,33.3,90.6375,11.05625,
20-04-2020,0.16875,23.03125,34.3,43.7,88.53125,9.46875,
21-04-2020,0,23.20625,37.6,35.90625,77.8125,7.7375,
22-04-2020,0,24.0125,38.9125,28.80625,75.99375,11.7,
23-04-2020,0,24.86875,38.46875,28.81875,78.55,10.89375,
24-04-2020,0,25.7875,39.25,32.59375,82.71875,10.75625,
25-04-2020,0,25.475,39,36.43125,84.19375,14.4,
26-04-2020,0,26.9375,39.09375,31.65625,83.11875,12.61875,
27-04-2020,1.25625,24.74375,39.14375,31.69375,82.71875,11.6375,
28-04-2020,0,23.7125,38.6375,32.43125,73.93125,11.26875,
29-04-2020,4.29375,22.75,38.05,34.03125,85.775,15.1875,
30-04-2020,0,25.875,38.6125,31.85,74.71875,10.35,
01-05-2020,0.475,25.175,39.7625,27.74375,76.63125,11.85625,
02-05-2020,0,24.68125,39.28125,33.56875,70.24375,9.5,
03-05-2020,0,27.54375,40.43125,28.85625,74.7,11.8875,
04-05-2020,0,27.40625,41.5625,22.93125,75.85,14.06875,
05-05-2020,0.0375,28.1,42.19375,24.73125,71.29375,14.10625,
06-05-2020,0,27.58125,40.76875,27.5375,76.25,13.5875,
07-05-2020,2.2625,26.76875,39.78125,37.18125,82.3125,14.7375,
08-05-2020,0,28.1625,37.95,38.39375,73.55625,13.79375,
09-05-2020,0,28.06875,39.2625,31.6125,68.1,12.85,
10-05-2020,1.3875,26.19375,40.2125,32.04375,72.60625,17.64375,
11-05-2020,0.1625,24.25625,37.1625,26.24375,66.10625,16.68125,
12-05-2020,0,26.65625,39.15,25.19375,69.04375,10.39375,
13-05-2020,0,26.7625,39.94375,28.49375,67.95625,10.55,
14-05-2020,0,27.61875,39.7375,30.2875,69.18125,9.725,
15-05-2020,0,27.05,39.8375,30.86875,62.94375,11.8375,
16-05-2020,0,29.13125,40.54375,28.68125,65.50625,10.675,
17-05-2020,1.075,27.00625,40.6625,29.775,73.99375,13.99375,
18-05-2020,0,27.73125,39.65,29.73125,65.9875,9.7875,
19-05-2020,0.14375,26.675,40.9625,26.3125,67.20625,12.7375,
20-05-2020,0,27.30625,40.175,22.25625,54.7375,13.1125,
21-05-2020,0,26.3625,42.36875,11.15,44.175,13.08125,
22-05-2020,0,24.8125,42.5625,8.08125,42.10625,14.95,
23-05-2020,0,26.5375,43.7375,9.25625,46.64375,10.7,
24-05-2020,0,29.63125,43.6625,13.3375,71.09375,12.4125,
25-05-2020,0,29.4125,43.35,20.81875,76.475,11.43125,
26-05-2020,0,29.8375,42.5875,25.3875,77.9875,13.58125,
27-05-2020,0.575,29.7,42.61875,26.78125,76.5375,14.4875,
28-05-2020,0,29.3375,43.60625,20.70625,71.58125,14.56875,
29-05-2020,0,29.93125,43.66875,16.975,71.08125,13.61875,
30-05-2020,9.175,24.0875,42.95625,23.15,89.3125,20.5375,
31-05-2020,0.575,25.63125,35.725,48.175,86.875,11.51875,
01-06-2020,13.175,23.05,38.1125,44.66875,95.13125,15.9625,0.65625
02-06-2020,0.16875,26.01875,36.04375,43.175,90.54375,8.99375,0.0875
03-06-2020,2.05625,24.68125,37.01875,39.8375,94.73125,12.025,0.00625
04-06-2020,0.75625,27.86875,35.95625,47.49375,80.34375,14.80625,1.64375
05-06-2020,0,26.925,36.39375,38.5375,66.00625,19.3875,1.025
06-06-2020,0.1,28.15625,37.7875,32.8625,60.9875,13.06875,1.36875
07-06-2020,0,29.08125,37.81875,33.6125,58.81875,13.58125,0.43125
08-06-2020,0.23125,29.15625,37.85,35.4,59.90625,13.46875,0.93125
09-06-2020,0,29.25625,38.3375,31.10625,59.5125,15.41875,0.4375
10-06-2020,6.61875,24.8875,39.75,30.525,94.21875,12.44375,0.51875
11-06-2020,28.65,23.7,37.5625,43.4125,98.0125,15.04375,0.94375
12-06-2020,34.05625,23.30625,30.475,80.6125,98.65,11.7,0.80625
13-06-2020,0.01875,25.75,30.71875,80.84375,96.95,11.4875,0.0625
14-06-2020,2.91875,26.2,34.65,60.0375,93.98125,10.04375,0.65625
15-06-2020,1.78125,27.3125,34.5625,60.15,89.7875,12.3625,0.00625
16-06-2020,7.4625,25.75625,36.10625,51.39375,97.5625,14.19375,0.125
17-06-2020,41.11875,24.21875,34.075,64.7,98.51875,14.66875,0.46875
18-06-2020,0.33125,25.28125,31.275,82.39375,94.71875,12.025,0.45625
19-06-2020,13.2625,24.80625,34.35,60.80625,97.375,15.075,0.34375
20-06-2020,0.0375,26.84375,33.41875,73.9125,92.30625,14.41875,0.03125
21-06-2020,4.20625,25.175,34.0875,65.575,93.13125,14.375,0.70625
22-06-2020,0,26.84375,31.6625,71.26875,88.1875,14.75625,0.0625
23-06-2020,0.2625,26.79375,31.1,72.3625,89.88125,11.625,0
24-06-2020,0.0125,25.7125,34.5,55.25,93.05,12.1625,0
25-06-2020,1.85625,26.4125,37.56875,47.3875,88.10625,9.85625,0.0625
26-06-2020,0,26.5875,37.20625,48.5125,86.14375,10.89375,0.7125
27-06-2020,0,26.55625,36.26875,48.5,86.4,10.96875,0.39375
28-06-2020,31.49375,23.08125,37.13125,47.96875,96.74375,14.69375,0.14375
29-06-2020,0.0125,26.35625,35.4125,55.83125,93.86875,8.05625,0
30-06-2020,5.21875,25.75625,34.69375,61.7625,94.43125,7.70625,0.06875
01-07-2020,9.30625,25.584375,36.09635417,55.61875,98.26979167,15.0375,0
02-07-2020,12.375,24.90677083,35.0921875,61.63697917,99.11197917,12.275,0.1125
03-07-2020,0.39375,26.83802083,35.31458333,58.975,94.26875,9.8625,0.4
04-07-2020,16.825,23.78125,34.62552083,63.06666667,98.02916667,12.7375,0.375
05-07-2020,1.53125,25.53958333,31.59322917,77.75625,96.2046875,16.23125,0.11875
06-07-2020,8.8625,23.925,30.00520833,81.9046875,98.10885417,13.54375,0.76875
07-07-2020,0.2,25.90677083,30.24947917,83.446875,95.49166667,10.05,0.5625
08-07-2020,0,25.70833333,34.13854167,63.4359375,91.71197917,13.85,0.01875
09-07-2020,13.21875,24.46041667,34.48802083,61.31614583,96.00208333,12.81875,0.00625
10-07-2020,32.60625,23.53072917,32.65416667,76.46197917,98.40833333,12.41875,0.23125
11-07-2020,0.475,24.92760417,30.5265625,82.27604167,96.99635417,9.45625,0.68125
12-07-2020,1.6,25.79583333,33.665625,70.10052083,93.9328125,11.6375,0.00625
13-07-2020,3.95,25.20416667,33.6546875,71.61197917,98,18.1,0.00625
14-07-2020,6.9125,25.21510417,30.89895833,84.02864583,97.77760417,7.6,0.01875
15-07-2020,15.93125,24.40677083,31.41770833,80.60729167,99.25416667,9.8875,0
16-07-2020,12.8125,24.259375,31.10989583,83.5859375,98.83072917,12.45625,0.01875
17-07-2020,0.49375,24.91822917,30.73489583,82.296875,94.7140625,11.05625,0.89375
18-07-2020,7.45625,24.796875,33.8015625,65.82239583,97.40260417,11.8625,0
19-07-2020,2.4125,26.09583333,35.215625,60.60833333,95.78229167,9.6375,0.1625
20-07-2020,32.86875,23.69322917,34.57395833,67.30885417,99.209375,10.45,0
