Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),humidity_max (%),wind_speed_max (Kmph),wind_speed_min (Kmph)
01-01-2020,0,19.45714286,30.1952381,53.65238095,95.55714286,9.014285714,0
02-01-2020,0,21.06666667,31.50952381,58.43809524,94.9,8.304761905,0
03-01-2020,0,21.35238095,30.2952381,64.59047619,95.05238095,8.204761905,0
04-01-2020,2.128571429,21.74761905,30.11428571,68.61904762,98.29047619,7.685714286,0
05-01-2020,0.414285714,21.74761905,28.54285714,75.12857143,96.53809524,5.038095238,0
06-01-2020,0,20.17619048,31.03809524,59.02857143,95.85238095,6.052380952,0
07-01-2020,0,21.24285714,30.57142857,56.39047619,95.5047619,8.276190476,0
08-01-2020,0,20.45714286,31.15238095,55.94761905,97.03809524,6.385714286,0
09-01-2020,0,19.86666667,30.6,59.71904762,95.86666667,7.061904762,0
10-01-2020,0,20.63333333,30.72380952,60.16666667,97.6,5.757142857,0
11-01-2020,0,20.88095238,30.84761905,59.08571429,95.48095238,5.29047619,0
12-01-2020,0,18.52380952,31.14285714,52.72380952,96.05714286,5.242857143,0
13-01-2020,0,17.36190476,31.66190476,42.72857143,96.05714286,5.652380952,0
14-01-2020,0,19.19047619,31.96190476,42.61904762,97.65714286,4.242857143,0
15-01-2020,0,18.61904762,31.07142857,49.85714286,97.8,5.295238095,0
16-01-2020,0,18.57142857,30.96666667,47.51904762,97.92857143,6.8,0
17-01-2020,0,19.88571429,31.1952381,50.86190476,98.02857143,8.914285714,0
18-01-2020,0,20.95714286,32.75714286,46.87142857,97.55238095,6.471428571,0
19-01-2020,0,21.5047619,32.26666667,49.49047619,97.3,6.461904762,0
20-01-2020,0,20.90952381,32.26190476,52.66190476,97.9952381,6.09047619,0
21-01-2020,0,20.98571429,32.7047619,50.48095238,97.5047619,4.566666667,0
22-01-2020,0,20.46666667,32.52857143,50.01428571,97.96666667,6.085714286,0
23-01-2020,0,20.84761905,33.30952381,44.86666667,97.51904762,5.576190476,0
24-01-2020,0,20.1952381,32.95238095,50.13809524,97.58095238,4.180952381,0
25-01-2020,0,21.35238095,33.98571429,41.31428571,98.03809524,4.957142857,0
26-01-2020,0,20.23809524,33.8,42.55714286,98.12380952,4.615789474,0
27-01-2020,0,19.76666667,34.05714286,46.01428571,98.03809524,5.405,0
28-01-2020,0,21.52857143,34.75714286,38.76190476,97.6952381,5.621052632,0
29-01-2020,0,22.3,33.57142857,46.37142857,96.78571429,8.766666667,0
30-01-2020,0,22.31428571,33.5047619,50.77142857,96.5047619,8.115789474,0
31-01-2020,0,22.41428571,33.43809524,56.04285714,94.66190476,4.873684211,0
01-02-2020,0,21.95714286,32.83809524,52.4047619,97.11428571,4.863157895,0
02-02-2020,0,20.96190476,33.11428571,52.58571429,97.50952381,16.98095238,0
03-02-2020,0,21.23333333,32.8952381,51.64285714,98.14285714,16.03809524,0
04-02-2020,0,21.18571429,32.60952381,52.83333333,97.1,14.91904762,0
05-02-2020,0,21.28095238,33.25714286,52.02380952,97.55238095,7.7,0
06-02-2020,0,20.01428571,33.90952381,48.24761905,96.76666667,7.915789474,0
07-02-2020,0,21.58095238,33.62857143,46.44285714,96.35238095,9.868421053,0
08-02-2020,0,21.28571429,32.69047619,49.77142857,96.35714286,9.431578947,0
09-02-2020,2.661904762,21.77619048,32.3047619,52.74761905,95.35238095,9.384210526,0
10-02-2020,2.604761905,20.93333333,27.26190476,73.75238095,97.2,6.794736842,0
11-02-2020,0.304761905,22.14761905,30.33809524,63.56666667,95.4047619,7.157894737,0
12-02-2020,0,21.58095238,32.12857143,55.91904762,97.74761905,7.952631579,0
13-02-2020,0,20.9047619,33.07619048,50.18095238,97.32380952,6.183333333,0
14-02-2020,0,19.66666667,34.07142857,32.34761905,90.07619048,9.189473684,0
15-02-2020,0,18.48571429,35.27619048,26.24285714,93.28571429,5.852631579,0
16-02-2020,0,20.4,35.74285714,36.92380952,96.05714286,4.894736842,0
17-02-2020,0,19.77142857,35.55238095,38.19047619,96.98571429,5.968421053,0
18-02-2020,0,19.8047619,34.87142857,41.66190476,95.85714286,5.678947368,0
19-02-2020,0,21.24761905,34.62380952,42.31428571,97.4047619,6.121052632,0
20-02-2020,0,20.83333333,33.9952381,47.8,96.28571429,7,0
21-02-2020,0,20.25714286,33.39047619,49.2,97.27619048,7.4,0
22-02-2020,0,18.81904762,33.18095238,44.85238095,96.05714286,9.394736842,0
23-02-2020,0,19.56190476,34.01904762,44.13809524,97.01904762,7.842105263,0
24-02-2020,0,21.4047619,34.62380952,46.45714286,97.8952381,6.710526316,0
25-02-2020,0,21.64761905,35.13809524,41.07619048,97.20952381,8.505263158,0
26-02-2020,0,21.85238095,33.71428571,51.21428571,97.53809524,8.673684211,0
27-02-2020,0,21.70952381,34.61428571,48.54761905,86.46190476,4.861904762,0
28-02-2020,0,21.17142857,35.23809524,32.25238095,94.88571429,5.89047619,0
29-02-2020,0,21.30952381,34.52380952,42.5,93.72857143,7.380952381,0
01-03-2020,0,21.57619048,34.72857143,45.04285714,95.66666667,6.814285714,0
02-03-2020,0,21.94761905,34.72857143,45.92380952,96.34761905,5.447619048,0
03-03-2020,0,21.5,34.44285714,50.5047619,97.26666667,5.304761905,0
04-03-2020,0,22.46190476,35.18095238,49.94285714,96.09047619,7.104761905,0
05-03-2020,0,22.60952381,35.48571429,40.93333333,96.7,8.352380952,0
06-03-2020,0.171428571,24.00952381,34.57619048,50.78095238,96.56666667,9.561904762,0
07-03-2020,5.014285714,24.18095238,33.4952381,59.46190476,97.13809524,10.17619048,0
08-03-2020,2.895238095,23.40952381,31.33809524,71.78095238,97.79047619,7.642857143,0
09-03-2020,0.023809524,22.85238095,34.0047619,60.18095238,97.6047619,6.461904762,0
10-03-2020,0.014285714,22.99047619,34.38571429,53.38095238,96.94285714,6.023809524,0
11-03-2020,0,22.64285714,35.3952381,48.83333333,95.77142857,8.276190476,0
12-03-2020,0,23,35.23333333,48.56666667,95.5952381,8.328571429,0
13-03-2020,0,23.74285714,36.03333333,46.85714286,96.98095238,7.680952381,0
14-03-2020,0,21.82857143,35.90952381,48.62857143,97.40952381,7.519047619,0
15-03-2020,0,21.74285714,35.36190476,50.90952381,97.48095238,7.271428571,0
16-03-2020,0,22.44285714,35.84285714,44.94285714,96.57142857,7.785714286,0
17-03-2020,0,23.53809524,36.59047619,47.44285714,96.18095238,6.761904762,0
18-03-2020,0,22.66190476,37.37619048,43.39047619,97.35714286,7.2,0
19-03-2020,0.071428571,23.85238095,36.98571429,43.87142857,94.9952381,6.719047619,0
20-03-2020,1.280952381,23.73333333,37.26190476,43.77619048,91.3047619,10.4,0
21-03-2020,0.147619048,24.1047619,36.40952381,48.02380952,95.3047619,7.461904762,0
22-03-2020,0,24.31904762,36.94761905,47.08095238,95.8952381,8.866666667,0
23-03-2020,0,23.31904762,36.56190476,48.18095238,97.23809524,7.738095238,0
24-03-2020,0,23.22380952,35.83809524,47.93333333,95.14285714,7.585714286,0
25-03-2020,0,23.7952381,37.0047619,45.26666667,94.1047619,6.5,0
26-03-2020,0,23.56190476,37.05714286,46.41428571,95.50952381,6.166666667,0
27-03-2020,0,23.44285714,37.66190476,39.57142857,93.74285714,4.757142857,0
28-03-2020,0,22.58095238,37.57142857,41.03333333,86.94285714,6.242857143,0
29-03-2020,0,23.27142857,38.1952381,35.33809524,81.4047619,5.295238095,0
30-03-2020,0,23.32857143,39.05238095,33.0047619,87.28571429,5.033333333,0
31-03-2020,0,24.11428571,38.7047619,33.78571429,90.76666667,5.138095238,0
01-04-2020,0,23.56190476,38.45714286,36.88571429,86.64761905,5.885714286,
02-04-2020,0,23.58571429,39.2047619,30.1047619,89.16190476,5.285714286,
03-04-2020,0,24.25714286,38.77619048,37.27619048,93.22380952,9.142857143,
04-04-2020,0,23.48095238,36.62380952,48.02380952,94.23809524,6.428571429,
05-04-2020,0,23.82380952,36.98571429,42.23809524,92.8,5.576190476,
06-04-2020,0,25.17619048,37.94285714,39.26666667,93.05238095,6.619047619,
