Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
01-01-2018,0,13.68461538,29.87692308,27.62051282,82.27948718,0,6.428205128
02-01-2018,0,13.66923077,31.53846154,26.54102564,83.27948718,0,6.056410256
03-01-2018,0,13.86923077,31.24358974,26.57179487,82.74615385,0,6.892307692
04-01-2018,0,13.71025641,30.96666667,26.38717949,80.93846154,0,6.505128205
05-01-2018,0,14.15897436,29.33846154,30.29487179,78.02564103,0,6.317948718
06-01-2018,0,13.48717949,30.81794872,26.39230769,80.68205128,0,5.961538462
07-01-2018,0,14.12307692,30.93589744,25.41538462,82.16666667,0,5.656410256
08-01-2018,0,13.80769231,30.29333333,32.98461538,83.57948718,0,5.371794872
09-01-2018,0,13.91794872,29.44615385,30.72564103,78.04358974,0.007692308,7.141025641
10-01-2018,0,14.12307692,29.01282051,28.45641026,81.82307692,0,7.723076923
11-01-2018,0,14.34358974,30.0974359,27.38461538,81.78974359,0,7.912820513
12-01-2018,0,15.22820513,31.72820513,27.86153846,84.36153846,0,5.443589744
13-01-2018,0,15.80512821,33.25384615,26.88717949,83.35641026,0,4.274358974
14-01-2018,0,15.86666667,32.96153846,23.27179487,79.08461538,0,6.046153846
15-01-2018,0,18.61794872,33.44102564,25.60769231,79.81282051,0,5.279487179
16-01-2018,0,16.57692308,32.89230769,32.82051282,85.66410256,0,4.894871795
17-01-2018,0,15.01282051,32.25384615,28.14102564,83.87179487,0,5.923076923
18-01-2018,0,15.03846154,32.62564103,26.39230769,84.73846154,0,5.694871795
19-01-2018,0,13.08717949,31.8025641,25.45128205,80.56153846,0,6.320512821
20-01-2018,0,12.30769231,31.33333333,20.70769231,81.65897436,0,7.753846154
21-01-2018,0,12.23333333,30.49230769,20.53333333,78.91794872,0,6.81025641
22-01-2018,0,13.5,30.90769231,22.24871795,81.83333333,0,6.771794872
23-01-2018,0,15.25897436,31.00769231,25.56153846,77.22051282,0,6.541025641
24-01-2018,0,16.61282051,31.51025641,31.02564103,81.74102564,0,6.541025641
25-01-2018,0,13.38974359,30.25384615,31.38974359,81.26153846,0,7.323076923
26-01-2018,0,11.7025641,30.64358974,25.2974359,83.85897436,0,6.269230769
27-01-2018,0,12.11538462,30.97692308,20.22820513,79.2,0,5.338461538
28-01-2018,0,13.36153846,31.84102564,18.27179487,78.27435897,0,6.361538462
29-01-2018,0,14.25384615,32.33846154,24.37948718,84.23846154,0,6.787179487
30-01-2018,0,13.10512821,31.64358974,25.79487179,85.23589744,0,6.946153846
31-01-2018,0,12.37948718,32.14615385,21.82051282,80.4025641,0,7.528205128
01-02-2018,0,12.98461538,33.16666667,17.40769231,76.94871795,0,6.820512821
02-02-2018,0,13.11282051,33.38717949,17.15641026,74.84615385,0,7.3
03-02-2018,0,13.18717949,33.7025641,15.67435897,72.6974359,0,6.982051282
04-02-2018,0,15.39230769,33.71538462,21.88205128,73.3025641,0,7.084615385
05-02-2018,0,15.02051282,33.52051282,22.45128205,77.62820513,0,7.148717949
06-02-2018,0,15.62051282,33.28205128,22.78461538,77.41538462,0.102564103,9.505128205
07-02-2018,0,17.65641026,32.91282051,23.22051282,77.21794872,0,8.274358974
08-02-2018,0.007692308,15.52051282,31.52307692,33.92307692,81.86410256,0,5.997435897
09-02-2018,0,17.91794872,33.41282051,24.75641026,74.77179487,0,6.284615385
10-02-2018,0,15.65384615,30.24358974,31.28205128,76.36923077,0,6.038461538
11-02-2018,0.007692308,19.09230769,28.29487179,36.66923077,80.77179487,0,5.176923077
12-02-2018,0.007692308,19.78974359,33.21025641,26.4025641,83.61794872,0.117948718,11.75897436
13-02-2018,8.2,19.31538462,32.67179487,39.05384615,90.47179487,0.405128205,11.66410256
14-02-2018,0.120512821,18.83589744,31.77692308,35.44358974,85.65641026,0.015384615,9.238461538
15-02-2018,0,17.10769231,30.43333333,41.55128205,83.92564103,0.069230769,7.853846154
16-02-2018,0,15.97435897,31.38717949,35.14615385,82.95897436,0,6.746153846
17-02-2018,0,14.62820513,32.32564103,28.65128205,77.27692308,0,7.033333333
18-02-2018,0,15.55384615,33.24871795,25.03333333,78.02307692,0,7.379487179
19-02-2018,0,18.33846154,34.63589744,22.91282051,76.1974359,0,7.476923077
20-02-2018,0,19.98974359,34.96923077,27.47435897,74.29230769,0.033333333,7.582051282
21-02-2018,0,19.35384615,34.09230769,33.5974359,77.67179487,0,6.828205128
22-02-2018,0,19.91538462,34.54102564,35.76052632,57.02631579,0,6.028205128
23-02-2018,0,18.94871795,34.73333333,30.68717949,70.38461538,0,6.887179487
24-02-2018,0,18.76153846,35.37692308,26.87179487,71.6,0,8.123076923
25-02-2018,0,16.68461538,35.22820513,21.31025641,72.84102564,0,9.448717949
26-02-2018,0,16.99487179,35.29487179,23.00769231,69.96410256,0,7.858974359
27-02-2018,0,18.59487179,35.36410256,21.95384615,67.82820513,0,7.741025641
28-02-2018,0,18.80769231,36.11794872,22.50769231,66.58974359,0,7.78974359
01-03-2018,0,17.82564103,36.84102564,16.91025641,67.06666667,0,7.038461538
02-03-2018,0,18.05641026,36.60769231,18.9974359,69.12307692,0,6.797435897
03-03-2018,0,20.56666667,37.43333333,18.61282051,61.90769231,0.005128205,7.394871795
04-03-2018,0,20.63333333,37.33589744,20.01025641,61.74358974,0,8.838461538
05-03-2018,0,20.82564103,37.64358974,18.27435897,62.05128205,0.11025641,8.715384615
06-03-2018,0,20.72564103,37.35897436,20.08974359,62.56153846,0,7.974358974
07-03-2018,0,20.77948718,37.10512821,20.06923077,60.62307692,0.058974359,7.835897436
08-03-2018,0,19.99230769,36.77435897,18.67948718,67.6,0,8.276923077
09-03-2018,0,20.33076923,36.15384615,23.25128205,64.25128205,0.056410256,6.702564103
10-03-2018,0,21.14358974,36.17179487,22.73846154,66.46666667,0.097435897,7.346153846
11-03-2018,0,23,36.11282051,31.60512821,69.18461538,0.087179487,8.184615385
12-03-2018,0,23.65897436,35.49230769,32.19230769,71.8025641,0.020512821,8.915384615
13-03-2018,0,21.72564103,36.88205128,20.66923077,67.21538462,0.025641026,8.21025641
14-03-2018,0,20.9974359,37.61794872,21.55384615,68.76410256,0,7.376923077
15-03-2018,0,24.32564103,37.92307692,19.69230769,63.62307692,0.056410256,8.930769231
16-03-2018,0,24.34871795,36.06666667,24.61025641,53.56666667,0.015384615,7.441025641
17-03-2018,7.91025641,18.89230769,28.34102564,44.33333333,95.40512821,0.005128205,8.769230769
18-03-2018,0.007692308,20.12820513,32.95641026,42.22051282,94.04358974,0,6.787179487
19-03-2018,0,20.66410256,35.85128205,26.13589744,80.48717949,0,8.525641026
20-03-2018,0,22,36.56153846,29.24615385,70.52307692,0,7.141025641
21-03-2018,0,23.69230769,37.5025641,24.35897436,62.48974359,0,7.969230769
22-03-2018,0,21.54358974,37.71282051,21.09230769,65.03589744,0,8.030769231
23-03-2018,0,19.36410256,37.28461538,18.52564103,61.26666667,0.005128205,8.31025641
24-03-2018,0,19.71538462,37.73333333,15.65897436,62.67179487,0,7.338461538
25-03-2018,0,20.58974359,37.82307692,15.40769231,61.85641026,0,7.966666667
26-03-2018,0,21.88974359,37.64615385,18.25128205,73.48461538,0,8.353846154
27-03-2018,0,20.6974359,38.17948718,15.40769231,68.40512821,0,8.294871795
28-03-2018,0,22.17179487,39.03846154,16.55897436,65.3974359,0,7.564102564
29-03-2018,0,21.27179487,39.26153846,17.33589744,70.31025641,0,7.658974359
30-03-2018,0,21.31025641,39.32564103,11.69487179,69.51538462,0,6.443589744
