Date,Rainfall (mm),temp_min (â°C),temp_max (â°C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
01-01-2019,0,9.885,28.445,24.27,85.535,0,5.95
02-01-2019,0,10.23,30.2,19.88,87.095,0,7.015
03-01-2019,0,12.385,31.3,25.85,90.67,0,5.79
04-01-2019,0,12.515,31.565,30.79,93.565,0,6.445
05-01-2019,0,15.7,31.29,33.705,94.175,0,6.805
06-01-2019,0,15.49,30.715,39.605,95.535,0,7.045
07-01-2019,0,15.84,29.54,48.995,95.75,0,8.815
08-01-2019,0,15.81,30.31,44.14,93.5,0.075,6.59
09-01-2019,0,11.57,29.195,31.73,84.26,0,7.49
10-01-2019,0,11.045,30.465,20.095,88.29,0,7.52
11-01-2019,0,15.14,30.78,30.255,92.415,0,6.785
12-01-2019,0,17.775,30.01,46.955,96.14,0,8.12
13-01-2019,0,18.9,29.47,51.62,95.59,0.035,9.07
14-01-2019,0,16.545,30.55,45.205,95.44,0,9.04
15-01-2019,0,16.78,31.425,42.51,95.24,0,7.32
16-01-2019,0,14.64,30.64,42.745,95.015,0,6.795
17-01-2019,0,13.25,30.855,27.41,89.375,0,5.575
18-01-2019,0,15.245,30.47,38.53,95.12,0,6.915
19-01-2019,0,14.885,31.35,37.865,96.355,0,6.445
20-01-2019,0,13.44,31.095,36.235,93.66,0,6.835
21-01-2019,0,14.145,31.965,25.745,95.53,0,6.355
22-01-2019,0,16.775,31.535,35.255,96.895,0.295,7.395
23-01-2019,0,17.515,30.81,40.705,95.67,0.38,10.925
24-01-2019,0,18.91,30.63,46.2,94.625,0,8.955
25-01-2019,0,20.135,30.415,51.675,92.9,0.295,9.16
26-01-2019,0,21.6,29.485,56.59,90.44,1.095,11.16
27-01-2019,16.855,19.105,28.585,62.95,96.02,0.475,10.52
28-01-2019,4.325,18.31,22.58,88.07,97.285,0.35,7.83
29-01-2019,0,14.295,24.825,73.835,95.96,0.015,7.93
30-01-2019,0,10.615,26.24,35.885,89.325,0.105,9.91
31-01-2019,0,12.54,27.995,32.215,90.275,0,7.265
01-02-2019,0,17.285,29.91,43.135,96.625,0,8.51
02-02-2019,0,16.02,30.96,38.7,96.61,0,7.58
03-02-2019,0,16.79,30.9,42.535,96.12,0,6.97
04-02-2019,0,17.215,32.14,40.595,91.01,0,6.305
05-02-2019,0,16.54,32.415,34.44,93.86,0,7.07
06-02-2019,0,17.315,32.66,35.45,93.495,0,6.57
07-02-2019,0,19.285,31.975,40.78,91.98,0.205,8.1
08-02-2019,0,21.325,31.77,40.86,90.17,0.87,11.735
09-02-2019,0,19.34,29.935,52.295,94.98,0,8.61
10-02-2019,0,14.77,28.485,27.84,59.345,0.475,11.2
11-02-2019,0,18.67,31.385,32.99,79.76,0.01,7.115
12-02-2019,0,20.425,32.21,48.925,94.145,0,9.68
13-02-2019,0,20.565,32.42,46.975,93.105,0,7.525
14-02-2019,0,19.63,34.04,30.13,94.565,0.005,7.98
15-02-2019,0,19.095,33.535,33.76,92.64,0.47,7.5
16-02-2019,0,21.635,33.84,36.86,92.31,0.365,11.415
17-02-2019,0,22.46,33.975,46.11,92.67,0.115,9.19
18-02-2019,0,20.435,33.68,48.455,95.14,0,6.97
19-02-2019,0,21.18,34.39,36.32,94.98,0,7.555
20-02-2019,0,23.335,34.49,48.465,92.135,1.025,9.32
