Date,Rainfall (mm),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2018-01-01,0.0,32.275,32.61875,90.19375,0.0,5.9
2018-01-02,0.0,33.175,16.04375,83.225,0.06,6.926666667
2018-01-03,0.0,37.36875,14.8,74.80625,0.0,6.646666667
2018-01-04,0.0,37.18125,42.23125,88.7625,1.046666667,12.90666667
2018-01-05,0.0,42.89375,16.4,85.1625,0.113333333,13.3
2018-01-06,0.0,39.26875,32.80625,68.5125,0.38,13.08666667
2018-01-07,0.0,36.18125,47.825,86.90625,0.0,7.06
2018-01-08,0.0,33.59375,52.4125,76.0875,0.0,11.46
2018-01-09,0.425,31.7,65.5875,94.3,0.18,11.66666667
2018-01-10,0.02,34.78333333,58.0,95.46666667,0.0,4.506896552
2018-01-11,0.0,33.1125,36.0375,91.91875,0.0,6.18
2018-01-12,0.0,31.85,31.1875,87.275,0.146666667,6.1
2018-01-13,0.0,33.4,26.9375,83.61875,0.0,5.04
2018-01-14,0.0,33.9,21.68125,86.0125,0.0,6.72
2018-01-15,0.0,31.8625,47.28125,92.6,0.0,6.706666667
2018-01-16,0.0,32.8875,42.55,94.1,0.0,5.626666667
2018-01-17,0.0,33.39375,31.45625,88.375,0.0,6.613333333
2018-01-18,0.0,33.15,29.075,91.8,0.0,7.453333333
2018-01-19,0.0,32.1625,33.225,89.63125,0.0,5.746666667
2018-01-20,0.0,31.63125,21.66875,85.95625,0.0,6.653333333
2018-01-21,0.0,31.45625,26.91875,91.11875,0.0,6.72
2018-01-22,0.0,31.74375,30.225,88.31875,0.02,6.113333333
2018-01-23,0.0,31.2375,34.4625,90.2625,0.0,8.026666667
2018-01-24,0.0,31.5125,38.55625,92.49375,0.0,8.953333333
2018-01-25,0.0,31.1625,44.025,89.66875,0.0,6.38
2018-01-26,0.0,31.0125,30.25,79.625,0.0,6.38
2018-01-27,0.0,31.3375,21.55625,84.59375,0.0,6.393333333
2018-01-28,0.0,31.575,30.63125,89.9625,0.0,6.493333333
2018-01-29,0.0,31.40625,34.70625,93.7375,0.0,7.986666667
2018-01-30,0.0,31.55625,30.2875,90.30625,0.0,8.406666667
2018-01-31,0.0,31.61875,23.46875,86.96875,0.0,7.193333333
2018-02-01,0.0,31.7375,38.40625,89.19375,0.0,6.686666667
2018-02-02,0.0,33.3375,13.6625,82.51875,0.053333333,8.806666667
2018-02-03,0.0,37.04375,13.6875,64.93125,0.0,8.353333333
2018-02-04,0.0375,37.61875,31.64375,75.85625,1.153333333,12.58
2018-02-05,0.0,42.24375,26.04375,82.075,0.28,15.74666667
2018-02-06,4.24375,41.1,29.2625,83.8,0.48,11.72
2018-02-07,0.2375,34.6375,54.325,87.425,0.0,8.86
2018-02-08,5.0,34.25625,50.35,89.575,0.246666667,13.21333333
2018-02-09,0.0,31.6375,66.35625,92.75,0.0,9.993333333
2018-02-10,6.676666667,34.92333333,57.80333333,95.45333333,0.0,5.579310345
2018-02-11,0.0,33.1125,43.79375,95.49375,0.0,5.726666667
2018-02-12,0.0,31.79375,34.60625,88.88125,0.066666667,5.073333333
2018-02-13,0.01875,31.0,43.775,93.45625,0.126666667,11.83333333
2018-02-14,0.0,30.9875,42.16875,91.075,0.0,8.626666667
2018-02-15,0.0,32.36875,31.85625,88.64375,0.0,7.666666667
2018-02-16,0.0,31.9,39.34375,86.925,0.0,6.6
2018-02-17,0.0,32.89375,21.16875,80.16875,0.0,7.493333333
2018-02-18,0.0,34.05,21.71875,94.16875,0.0,7.086666667
2018-02-19,0.0,34.425,30.0875,95.25,0.0,8.06
2018-02-20,0.0,33.41875,34.81875,96.925,0.073333333,11.16666667
2018-02-21,0.0,34.075,34.8625,96.075,0.0,9.306666667
2018-02-22,0.0,34.2625,33.95,58.55,0.0,7.56
2018-02-23,0.0,35.1125,24.16875,88.13125,0.0,8.14
2018-02-24,0.0,34.60625,27.825,87.21875,0.34,9.66
2018-02-25,0.0,33.4875,24.5125,82.41875,0.113333333,11.88
2018-02-26,0.0,35.75,17.75,76.06875,0.0,8.353333333
2018-02-27,0.0,36.825,17.64375,67.49375,0.0,6.806666667
2018-02-28,0.0,36.7875,19.19375,75.7375,0.0,6.84
2018-03-01,0.0,32.03125,36.9125,90.68125,0.02,5.813333333
2018-03-02,0.0,33.95,12.39375,77.0,0.0,7.426666667
2018-03-03,0.0,37.44375,15.00625,61.49375,0.0,8.046666667
2018-03-04,0.0,35.20625,48.175,91.9125,0.273333333,13.28
2018-03-05,0.0375,41.09375,33.3875,79.88125,0.98,13.48666667
2018-03-06,30.63125,32.09375,61.975,97.85,0.0,9.553333333
2018-03-07,1.01875,36.08125,48.90625,94.4,0.006666667,9.86
2018-03-08,0.89375,33.01875,61.225,92.46875,0.0,10.78666667
2018-03-09,0.0,33.15625,58.3875,86.9375,0.0,10.14666667
2018-03-10,0.1125,34.875,58.96875,95.425,0.0,5.926666667
2018-03-11,0.0,33.60625,49.6125,94.0375,0.0,7.226666667
2018-03-12,0.0,31.175,38.20625,91.3375,0.0,7.266666667
2018-03-13,0.0,36.4,27.8625,86.34375,0.42,8.413333333
2018-03-14,0.0,37.54375,21.71875,75.5875,0.0,8.833333333
2018-03-15,0.0,37.63125,20.43125,76.1,1.046666667,8.786666667
2018-03-16,0.0,36.38125,26.1375,81.1125,0.0,9.06
2018-03-17,3.25,30.60625,44.20625,97.375,0.2,11.71333333
2018-03-18,0.0,33.2125,43.1875,94.89375,0.0,8.193333333
2018-03-19,0.0,35.7375,35.7875,78.61875,0.0,8.14
2018-03-20,0.0,36.91875,22.71875,71.10625,0.0,7.273333333
2018-03-21,0.0,37.4875,23.54375,70.14375,0.26,7.526666667
2018-03-22,0.0,37.7,23.50625,76.01875,0.006666667,9.333333333
2018-03-23,0.0,37.6125,19.5125,64.625,0.0,9.5
2018-03-24,0.0,37.98125,15.45,67.2375,0.0,10.81333333
2018-03-25,0.0,38.275,15.45,94.825,0.0,7.653333333
2018-03-26,0.0,36.975,38.475,87.2625,0.0,8.173333333
2018-03-27,0.0,37.64375,25.975,86.2,0.0,7.32
2018-03-28,0.0,38.01875,19.33125,81.0125,0.02,7.74
2018-03-29,0.0,38.49375,24.225,92.03125,1.04,9.806666667
2018-03-30,0.0,38.54375,26.7875,94.43125,0.0,9.826666667
2018-03-31,0.24375,38.2125,34.23125,94.00625,0.533333333,9.84
2018-04-01,0.0,31.1625,32.575,89.31875,0.013333333,7.48
2018-04-02,0.0,32.6875,22.86875,72.8375,0.373333333,10.06
2018-04-03,0.0,37.4875,17.55625,57.03125,0.146666667,7.053333333
2018-04-04,0.0,37.25,36.55625,91.2,0.286666667,9.06
2018-04-05,35.0625,34.475,55.7625,96.7375,0.0,19.79333333
2018-04-06,0.64375,39.1625,38.05,77.3,0.06,7.9
2018-04-07,0.03125,32.2875,58.575,78.875,0.173333333,10.36666667
2018-04-08,0.05,34.03125,54.5,82.09375,0.086666667,13.58666667
2018-04-09,0.0375,33.1625,58.525,90.5375,0.06,10.64
2018-04-10,0.55,35.15,60.98125,93.7375,0.0,5.793333333
2018-04-11,0.0,34.525,44.81875,97.35625,0.1,8.386666667
2018-04-12,0.0,31.0,38.65625,89.625,0.0,6.906666667
2018-04-13,0.0,37.61875,32.1625,89.95,0.0,11.81333333
2018-04-14,0.0,37.5375,33.1625,88.4375,0.8,10.87333333
2018-04-15,0.0,37.23125,36.2875,83.34375,0.373333333,11.27333333
2018-04-16,2.225,34.44375,47.9125,90.49375,0.0,9.766666667
2018-04-17,0.0,37.8125,32.70625,75.2875,0.093333333,8.566666667
2018-04-18,0.0,38.6625,28.1625,71.11875,0.0,9.686666667
2018-04-19,0.0,39.39375,20.025,85.10625,0.0,10.28
2018-04-20,0.0,39.93125,18.8625,89.68125,0.0,10.57333333
2018-04-21,0.0,41.76875,15.96875,88.55625,0.0,12.58666667
2018-04-22,0.0,41.38125,22.98125,88.33125,0.0,9.453333333
2018-04-23,0.7875,40.53125,30.21875,77.19375,0.473333333,10.54666667
2018-04-24,0.925,41.70625,25.55,76.3,0.146666667,10.77333333
2018-04-25,1.05,41.78125,23.4125,79.71875,0.56,11.18
2018-04-26,0.0,40.69375,25.1625,81.075,0.3,9.533333333
2018-04-27,0.0,41.35,22.75625,85.2125,0.046666667,11.38
2018-04-28,0.0,41.125,20.29375,81.025,0.413333333,12.70666667
2018-04-29,0.0,39.90625,26.10625,79.0625,1.233333333,12.6
2018-04-30,0.0,41.95625,23.8875,83.1125,0.593333333,12.33333333
2018-05-01,0.0,30.7,31.3875,86.825,0.0,6.04
2018-05-02,0.0,32.58125,23.05,90.15625,0.2,8.746666667
2018-05-03,0.0,37.51875,15.08125,70.175,0.766666667,9.78
2018-05-04,0.0,37.48125,35.1375,85.39375,0.22,12.54
2018-05-05,0.0,35.5625,43.75,89.68125,0.726666667,9.846666667
2018-05-06,2.74375,39.2875,30.95,79.29375,0.0,10.48
2018-05-07,0.1125,35.3875,47.225,70.15625,0.186666667,13.08
2018-05-08,0.3,34.50625,53.19375,84.71875,0.0,13.44666667
2018-05-09,0.1,33.3,53.7125,86.99375,0.0,10.09333333
2018-05-10,0.0,34.68125,56.34375,94.8375,0.0,5.866666667
2018-05-11,0.0,34.40625,46.21875,95.10625,0.0,7.206666667
2018-05-12,0.0,31.85625,40.725,86.04375,0.0,5.333333333
2018-05-13,10.7,40.775,28.475,88.5625,0.02,14.94
2018-05-14,0.1,37.58125,31.20625,84.0125,0.0,12.35333333
2018-05-15,16.08125,39.05,35.09375,93.28125,0.0,18.04
2018-05-16,0.0,38.38125,34.09375,83.55625,0.12,7.773333333
2018-05-17,0.0,39.60625,31.16875,73.3125,0.56,8.78
2018-05-18,0.0,39.4625,34.225,78.1125,0.82,10.92666667
2018-05-19,0.0,40.725,29.1875,72.55,0.94,8.72
2018-05-20,0.0,41.75625,20.69375,72.86875,0.033333333,11.92
2018-05-21,0.0,41.04375,27.39375,69.96875,1.553333333,11.98666667
2018-05-22,0.0,39.10625,36.59375,66.60625,1.813333333,12.98666667
2018-05-23,0.0,40.90625,29.21875,69.0375,0.1,10.66666667
2018-05-24,0.0,39.56875,26.54375,69.70625,0.426666667,12.45333333
2018-05-25,0.13125,40.625,32.04375,66.51875,0.953333333,11.69333333
2018-05-26,0.0,40.3375,32.48125,80.63125,0.14,12.82
2018-05-27,0.09375,39.0375,37.275,68.43125,0.04,10.62
2018-05-28,0.0,40.0,32.9625,66.975,0.173333333,11.54
2018-05-29,0.0,41.35,27.30625,71.68125,1.313333333,10.71333333
2018-05-30,0.0,43.18125,19.79375,70.84375,0.0,12.84
2018-05-31,0.0,42.5375,25.33125,76.8375,0.173333333,11.12666667
2018-06-01,0.0,31.6875,26.9,85.8125,0.0,6.6
2018-06-02,0.0,32.45625,30.63125,92.2375,0.14,7.28
2018-06-03,0.0,36.69375,17.90625,65.80625,0.073333333,10.16666667
2018-06-04,0.26875,36.03125,42.5625,91.3,0.333333333,10.52666667
2018-06-05,0.0,38.4625,36.8875,81.3375,0.706666667,10.72666667
